0,1,2,3,4,5,6,7,8,9,10
002,ΕΛΑΙΩΝΑΣ,64,,,2025-05-24 07:55:55,2025-05-24 01:00:00,2025-05-23,2025-05-24,ΓΡΑΜΜΉ 3,Boarding
002,ΕΛΛΗΝΙΚΟ,200,,,2025-05-24 07:55:55,2025-05-24 01:00:00,2025-05-23,2025-05-24,ΓΡΑΜΜΉ 2,Boarding
002,ΕΥΑΓΓΕΛΙΣΜOΣ,413,,,2025-05-24 07:55:55,2025-05-24 01:00:00,2025-05-23,2025-05-24,ΓΡΑΜΜΉ 3,Boarding
002,ΗΛΙΟΥΠΟΛΗ,102,,,2025-05-24 07:55:55,2025-05-24 01:00:00,2025-05-23,2025-05-24,ΓΡΑΜΜΉ 2,Boarding
002,ΗΡΑΚΛΕΙΟ,153,,,2025-05-24 07:55:55,2025-05-24 01:00:00,2025-05-23,2025-05-24,ΓΡΑΜΜΉ 1,Boarding
002,ΘΗΣΕΙΟ,253,,,2025-05-24 07:55:55,2025-05-24 01:00:00,2025-05-23,2025-05-24,ΓΡΑΜΜΉ 1,Boarding
002,ΚΑΛΛΙΘΕΑ,149,,,2025-05-24 07:55:55,2025-05-24 01:00:00,2025-05-23,2025-05-24,ΓΡΑΜΜΉ 1,Boarding
002,ΚΑΤ,61,,,2025-05-24 07:55:55,2025-05-24 01:00:00,2025-05-23,2025-05-24,ΓΡΑΜΜΉ 1,Boarding
002,ΚΑΤΕΧΑΚΗ,170,,,2025-05-24 07:55:55,2025-05-24 01:00:00,2025-05-23,2025-05-24,ΓΡΑΜΜΉ 3,Boarding
002,ΚΑΤΩ ΠΑΤΗΣΙΑ,170,,,2025-05-24 07:55:55,2025-05-24 01:00:00,2025-05-23,2025-05-24,ΓΡΑΜΜΉ 1,Boarding
002,ΚΕΡΑΜΕΙΚΟΣ,384,,,2025-05-24 07:55:55,2025-05-24 01:00:00,2025-05-23,2025-05-24,ΓΡΑΜΜΉ 3,Boarding
002,ΚΗΦΙΣΙΑ,189,,,2025-05-24 07:55:55,2025-05-24 01:00:00,2025-05-23,2025-05-24,ΓΡΑΜΜΉ 1,Boarding
002,ΚΟΡΥΔΑΛΛΟΣ,250,,,2025-05-24 07:55:55,2025-05-24 01:00:00,2025-05-23,2025-05-24,ΓΡΑΜΜΉ 3,Boarding
002,ΚΟΡΩΠΙ,19,,,2025-05-24 07:55:55,2025-05-24 01:00:00,2025-05-23,2025-05-24,ΓΡΑΜΜΉ 3,Boarding
002,ΜΑΝΙΑΤΙΚΑ,68,,,2025-05-24 07:55:55,2025-05-24 01:00:00,2025-05-23,2025-05-24,ΓΡΑΜΜΉ 3,Boarding
002,ΜΑΡΟΥΣΙ,178,,,2025-05-24 07:55:55,2025-05-24 01:00:00,2025-05-23,2025-05-24,ΓΡΑΜΜΉ 1,Boarding
